Census year,Block ID,CLUE small area,Accommodation,Admin and Support Services,Agriculture and Mining,Arts and Recreation Services,Business Services,Construction,Education and Training,"Electricity, Gas, Water and Waste Services",Finance and Insurance,Food and Beverage Services,Health Care and Social Assistance,Information Media and Telecommunications,Manufacturing,Other Services,Public Administration and Safety,Real Estate Services,Rental and Hiring Services,Retail Trade,"Transport, Postal and Storage",Wholesale Trade,Total employment in block
2011,351,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,810,Southbank,,0,0,0,0,,0,0,0,0,0,0,0,,0,,0,,0,0,32
2013,811,Southbank,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,27
2013,812,Southbank,,,0,,349,90,,0,,38,26,,0,,0,58,0,,0,37,912
2013,813,Southbank,0,0,0,220,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,292
2013,814,Southbank,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,
2013,815,Southbank,0,,0,0,0,,0,0,0,,0,0,0,,0,,0,,0,0,60
2013,849,South Yarra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,850,Melbourne (Remainder),0,0,0,10,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,10
2013,851,Melbourne (Remainder),0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,852,Melbourne (Remainder),0,0,0,170,0,,0,,0,92,0,0,0,5,0,0,0,,0,0,272
2013,853,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,854,South Yarra,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,855,South Yarra,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,245
2013,856,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,857,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2013,858,South Yarra,,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,6
2013,859,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2013,860,South Yarra,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,861,South Yarra,,0,0,,0,0,33,,0,129,0,0,0,,0,0,0,23,0,0,205
2013,862,South Yarra,,0,0,0,0,0,15,0,0,,,0,0,0,0,0,0,0,0,0,52
2013,863,Melbourne (Remainder),0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,864,South Yarra,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,19
2013,865,South Yarra,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,866,South Yarra,0,,0,,0,0,,,0,,,0,0,,0,0,0,0,0,0,51
2013,867,South Yarra,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,
2013,868,South Yarra,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,45
2013,869,South Yarra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,870,Melbourne (Remainder),0,0,0,0,843,0,,0,0,,6430,0,0,,0,0,0,19,0,0,7941
2013,871,Melbourne (Remainder),0,,,,,,739,,,,,,,,,,,,,,811
2013,901,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,902,Parkville,,0,0,,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,15
2013,903,Parkville,0,0,0,0,0,0,,,0,0,0,0,0,,0,0,0,0,0,0,29
2013,904,Parkville,,0,0,0,,0,,0,0,,0,0,0,,0,0,0,0,0,0,421
2013,905,Parkville,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,
2013,906,Parkville,,0,0,0,195,,,0,5,26,0,,72,,,0,0,,,0,499
2013,907,Parkville,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,908,Parkville,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,36
2013,909,Parkville,0,0,0,,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,14
2013,910,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2013,911,Parkville,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2013,912,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,913,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,914,Parkville,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,18
2013,915,Parkville,0,0,0,0,0,0,0,0,0,,,0,0,,0,0,0,,0,0,22
2013,916,Parkville,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,50
2013,917,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,918,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,919,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,920,Parkville,0,0,0,0,,0,0,0,,65,9995,0,0,10,0,0,0,26,,0,10775
2013,921,Parkville,0,0,0,0,66,0,732,0,0,,,0,0,0,0,0,0,0,0,0,810
2013,922,Parkville,0,0,0,,0,0,0,,0,0,,0,0,29,0,0,0,0,0,0,40
2013,923,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2013,924,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,925,Parkville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,926,Parkville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,927,Parkville,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2013,928,Parkville,0,0,0,0,,0,0,0,0,,260,0,0,0,0,0,0,0,0,0,375
2013,929,Parkville,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,1171
2013,930,Parkville,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,1632
2013,931,Parkville,0,0,0,479,0,0,0,0,0,,0,0,0,0,0,0,0,,,0,645
2013,932,Parkville,0,0,0,0,0,0,0,0,0,94,,0,0,,0,0,0,21,0,0,4653
2013,1001,West Melbourne (Industrial),0,,,,,,,,,,,,,,,,,,732,,732
2013,1002,West Melbourne (Industrial),0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0
2013,1004,West Melbourne (Industrial),0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,,297,0,341
2013,1005,West Melbourne (Industrial),0,0,0,,0,,0,,0,,0,0,0,,0,,0,,145,,287
2013,1006,West Melbourne (Industrial),0,0,0,,,0,0,,,89,0,,0,,,0,162,,340,3316,4093
2013,1007,West Melbourne (Industrial),0,0,,0,0,0,0,,0,0,0,0,0,0,,0,,0,871,,910
2013,1009,West Melbourne (Industrial),0,0,0,,0,,0,0,0,,0,,,0,0,0,,0,607,0,790
2013,1012,North Melbourne,0,,0,0,,,,0,0,0,0,0,264,,0,0,,0,27,56,463
2013,1013,West Melbourne (Industrial),0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,,0,72
2013,1014,West Melbourne (Industrial),0,0,0,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,63,93
2013,1015,West Melbourne (Industrial),0,0,0,,0,,,,0,0,0,0,,,0,0,0,33,,20,113
2013,1016,Kensington,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2013,1101,Docklands,,,0,3,0,0,0,,0,228,,,,234,,,6,796,494,0,3166
2013,1102,Docklands,,,0,0,227,,,0,0,13,,304,,21,0,14,0,,796,0,1403
2013,1103,Docklands,,82,0,810,,,,0,,1473,,655,0,13,0,,,17,0,0,3446
2013,1104,Docklands,0,10,0,10,110,0,0,0,,48,,,6,7,0,22,0,7,,,247
2013,1105,Docklands,,,,,1236,,0,0,3343,102,34,,0,3,768,,0,,0,,8181
2013,1106,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,1107,Docklands,0,0,0,2,0,0,,,0,0,0,0,0,0,,0,0,0,0,0,50
2013,1108,Docklands,0,334,0,35,,,,,8390,379,87,,,111,,28,0,823,38,,12332
2013,1109,Docklands,30,112,,,256,53,29,,91,380,23,42,,12,10,58,0,65,107,33,1312
2013,1110,Docklands,0,,0,106,,65,,,,190,,,,14,0,,0,830,0,0,2962
2013,1111,West Melbourne (Industrial),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,40
2013,1112,Docklands,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,,0,0,26
2013,2381,North Melbourne,0,,0,0,56,,,,0,,,0,,42,0,0,0,0,,,196
2013,2382,North Melbourne,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,,0,0,39
2013,2383,North Melbourne,0,0,0,0,,15,0,,0,0,,,16,,118,0,0,,0,,258
2013,2384,North Melbourne,0,60,,0,,0,0,0,,0,,0,,,0,0,0,,0,,218
2013,2385,North Melbourne,0,0,0,,0,,,0,,,,,,,0,0,,0,,14,188
2013,2386,North Melbourne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2387,North Melbourne,0,,0,,,,0,0,0,0,0,0,0,,0,0,,0,0,71,228
2013,2388,North Melbourne,0,0,0,,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,21
2013,2389,North Melbourne,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,
2013,2390,North Melbourne,0,79,0,0,64,26,,0,0,0,0,,53,0,0,0,,,,31,317
2013,2391,North Melbourne,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,
2013,2392,North Melbourne,0,0,0,0,0,0,0,0,0,,,0,,3,0,0,0,17,,0,40
2013,2501,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2502,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,2503,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,2504,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2505,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2506,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2507,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2508,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2509,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,2510,Kensington,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,41
2013,2512,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,2513,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2514,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2515,Kensington,0,,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10
2013,2516,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2517,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2518,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2013,2519,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2520,Kensington,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,50
2013,2521,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2013,2522,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2523,Kensington,,0,0,0,0,0,0,0,0,21,0,0,0,,0,0,0,,0,0,26
2013,2524,Kensington,0,,0,0,0,0,0,0,0,50,7,0,,20,0,,0,42,,0,146
2013,2525,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2526,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2013,2527,Kensington,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2013,2528,Kensington,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,
2013,2529,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2530,Kensington,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,17
2013,2531,Kensington,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,179
2013,2532,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,
2013,2533,Kensington,0,0,0,0,,,0,0,0,0,0,0,,,,0,0,,,0,96
2013,2534,Kensington,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,0,,,,31
2013,2535,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2536,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2537,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2538,Kensington,0,0,0,0,,13,,0,0,0,0,0,,11,0,0,,10,0,0,80
2013,2539,Kensington,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,
2013,2540,Kensington,0,0,,,51,,0,0,,,,,15,0,0,0,,,7,,132
2013,2541,Kensington,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,,0,16
2013,2542,Kensington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013,2544,Kensington,0,0,0,0,,0,0,0,0,0,0,0,,,0,0,0,0,0,0,11
2013,2545,Kensington,0,0,0,0,0,,0,0,0,0,0,0,,10,0,0,0,0,0,0,64
2013,2546,Kensington,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,0,0,0,0,27
2013,2547,Kensington,0,0,0,,431,0,0,0,0,0,,0,,,,0,0,0,0,,835
2011,0,City of Melbourne total,8940,14795,3806,21863,70486,4948,23540,6975,59511,27792,36579,33152,16340,11074,41144,3996,882,21295,14149,10718,431985
2011,1,Melbourne (CBD),0,,0,19,,0,0,,0,40,0,0,0,13,0,0,0,14,,0,228
2011,2,Melbourne (CBD),0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,204
2011,4,Melbourne (CBD),0,0,0,45,0,0,,0,0,73,,0,0,13,,0,0,43,243,0,436
2011,5,Melbourne (CBD),0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,15,0,0,19
2011,6,Melbourne (CBD),0,,0,328,,0,0,0,0,318,0,,0,,,,,18,9,0,1232
2011,11,Melbourne (CBD),194,,,0,109,0,0,,,63,164,9,,63,0,,0,,32,,740
2011,12,Melbourne (CBD),96,1959,0,,1453,515,130,,1104,169,,522,0,13,,,0,13,,0,6611
2011,13,Melbourne (CBD),0,62,133,,523,,29,861,62,41,0,90,0,35,,30,0,34,,0,2044
2011,14,Melbourne (CBD),139,195,,,435,,269,,151,339,78,129,,62,,54,0,68,0,16,2208
2011,15,Melbourne (CBD),102,55,,78,180,0,185,0,213,587,81,67,70,161,,,0,309,0,15,2114
2011,16,Melbourne (CBD),,19,0,133,225,,,0,,155,,,,131,0,46,0,62,0,,926
2011,17,Melbourne (CBD),,,0,2,1103,,92,0,38,295,0,,,7,,54,0,38,0,,1990
2011,18,Melbourne (CBD),110,,,,1894,,0,0,816,210,0,,,23,,,0,150,,,4658
2011,21,Melbourne (CBD),,0,0,0,,0,0,,,23,,,,254,628,,0,,,0,4377
2011,22,Melbourne (CBD),,480,28,58,3540,49,0,73,454,195,0,840,34,49,205,104,0,47,90,,6430
2011,23,Melbourne (CBD),,166,210,20,872,,39,,938,101,41,712,0,71,,41,0,30,0,,3385
2011,24,Melbourne (CBD),0,497,,,2053,67,167,,1167,113,42,973,13,79,,204,0,48,33,,6043
2011,25,Melbourne (CBD),71,292,,14,472,0,293,,374,201,57,,40,172,150,,0,393,,72,4143
2011,26,Melbourne (CBD),,,,,1881,,0,22,25,120,40,0,0,31,,0,0,91,,0,2685
2011,27,Melbourne (CBD),,62,0,,1567,62,,,2399,281,50,77,14,137,,,,158,0,0,5373
2011,28,Melbourne (CBD),,188,,,401,,,0,1963,152,136,,21,59,1854,57,0,135,,0,7812
2011,31,Melbourne (CBD),0,683,,,139,0,0,,1853,161,126,,,52,,,0,49,,40,4684
2011,32,Melbourne (CBD),,469,51,0,1755,,24,,987,184,113,49,,29,130,288,0,40,556,334,5104
2011,33,Melbourne (CBD),49,366,,0,957,21,282,0,340,251,63,25,0,248,,16,,67,29,,2732
2011,34,Melbourne (CBD),,784,27,,979,0,91,,5725,133,49,36,45,166,,168,0,145,,70,8510
2011,35,Melbourne (CBD),,97,,13,183,17,54,,25,317,289,325,215,111,0,8,0,822,,84,2780
2011,36,Melbourne (CBD),125,14,0,,148,0,,,,174,17,,4,61,,,0,88,,0,828
2011,37,Melbourne (CBD),133,55,207,0,867,,,,1746,120,47,93,244,45,2213,103,,73,,,6439
2011,38,Melbourne (CBD),,137,0,,643,40,117,,1052,300,377,28,108,165,,19,0,43,,,3170
2011,41,Melbourne (CBD),88,56,0,0,517,0,,0,167,148,,0,0,29,,,0,,358,0,2109
2011,42,Melbourne (CBD),0,181,31,29,1054,,246,611,1090,75,44,318,185,92,503,94,,17,138,29,4741
2011,43,Melbourne (CBD),,563,,0,2589,60,232,0,755,158,0,,24,187,111,195,0,29,110,0,5594
2011,44,Melbourne (CBD),,81,0,0,759,13,101,,2131,284,117,,24,52,19,123,0,212,,,4496
2011,45,Melbourne (CBD),,4,0,41,58,0,122,0,41,292,,,34,54,0,,0,1222,0,,1919
2011,46,Melbourne (CBD),0,71,,15,89,0,362,,,351,93,77,0,78,,8,0,205,0,0,2237
2011,47,Melbourne (CBD),102,,0,0,,,13,0,,238,59,,,198,4687,,0,92,,0,7698
2011,48,Melbourne (CBD),,32,,,358,0,,,89,266,131,,,110,,28,,129,,0,1463
2011,51,Melbourne (CBD),,,0,,417,0,,,,172,,,,15,146,,0,15,,,5304
2011,52,Melbourne (CBD),0,158,0,,4378,,218,0,3161,210,8,288,0,94,550,194,0,45,,,9398
2011,53,Melbourne (CBD),124,70,0,0,1066,49,78,,3595,204,68,73,14,191,33,23,0,20,,27,5649
2011,54,Melbourne (CBD),0,98,,,561,,37,0,107,219,117,82,13,128,,,0,274,,,1762
2011,55,Melbourne (CBD),,25,0,,62,0,0,0,,107,,0,0,15,0,,0,1879,0,0,2323
2011,56,Melbourne (CBD),0,95,0,16,241,0,113,0,46,426,16,107,22,36,0,,,572,0,0,1697
2011,57,Melbourne (CBD),,13,0,,193,,37,0,12,601,29,23,,136,0,30,0,107,0,0,1284
2011,58,Melbourne (CBD),172,0,0,,163,,,0,,566,0,0,14,26,,0,0,57,,,1550
2011,61,Melbourne (CBD),39,,0,0,0,0,,,0,220,0,0,0,0,,0,0,0,0,0,398
2011,62,Melbourne (CBD),0,0,0,0,1484,0,,,,103,0,0,0,,0,0,0,,0,0,1992
2011,63,Melbourne (CBD),0,,0,0,178,0,,0,8,51,,,0,13,347,,0,33,0,,828
2011,64,Melbourne (CBD),,73,0,18,838,,269,,25,246,7,,0,42,0,,,269,,,1851
2011,65,Melbourne (CBD),,46,0,0,33,,,0,8,318,,,0,36,0,,0,783,,0,1293
2011,66,Melbourne (CBD),,43,0,0,37,0,66,,,623,,,0,29,0,0,,172,0,0,1024
2011,67,Melbourne (CBD),115,27,0,126,47,0,80,0,,364,16,14,0,21,0,,,37,,0,890
2011,68,Melbourne (CBD),75,0,0,,51,,,,551,132,0,,0,,,,0,24,0,0,2705
2011,71,Melbourne (CBD),,,0,0,864,0,0,0,0,,0,0,,6,0,0,0,,0,0,932
2011,72,Melbourne (CBD),0,,0,0,714,,220,0,26,175,,64,0,,329,,0,20,0,,1652
2011,73,Melbourne (CBD),0,0,0,0,279,0,,0,0,15,0,0,0,,1006,0,0,0,0,0,1353
2011,74,Melbourne (CBD),6,165,0,,544,0,410,,62,131,45,,6,47,,69,0,150,,0,1791
2011,76,Melbourne (CBD),0,,,79,1458,,0,0,586,454,183,2653,,47,0,38,0,735,,0,6729
2011,77,Melbourne (CBD),,,0,,482,0,,0,53,77,,1320,0,117,0,,0,7,,0,3113
2011,78,Melbourne (CBD),,,0,,,0,0,0,2151,150,,,,11,4852,30,0,18,0,0,10976
2011,81,Melbourne (CBD),,0,0,0,,0,459,0,0,127,0,0,0,0,0,0,0,30,0,0,647
2011,82,Melbourne (CBD),0,254,0,0,1587,0,35,,187,52,0,,,,635,20,0,,,0,3918
2011,83,Melbourne (CBD),0,0,0,,0,,,0,0,36,0,0,0,,,0,0,0,0,0,559
2011,84,Melbourne (CBD),0,29,0,,196,0,188,,33,98,0,10,,83,0,,0,90,0,,765
2011,85,Melbourne (CBD),10,19,,,231,0,,,430,1073,71,694,,189,1251,,0,1455,,,6882
2011,86,Melbourne (CBD),0,0,0,,0,0,0,0,0,,0,,0,48,0,0,0,,0,0,517
2011,87,Melbourne (CBD),,56,0,0,357,0,99,,,76,,0,0,13,0,19,0,0,0,,650
2011,88,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,,,0,0,0,,0,,0,0,89
2011,91,West Melbourne (Residential),0,,0,0,158,,,,0,14,0,,0,,0,,0,,0,27,390
2011,92,West Melbourne (Residential),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
2011,93,Melbourne (CBD),,,0,,236,0,79,0,216,14,0,0,0,88,1157,,0,,0,,2830
2011,94,Melbourne (CBD),,,0,0,1073,,,0,,34,0,,0,8,,,,102,0,0,3574
2011,95,Melbourne (CBD),0,50,0,13,52,,433,0,,161,67,,,16,,16,,82,0,,951
2011,96,Melbourne (CBD),0,,0,77,0,0,2720,0,,31,37,,,46,,0,0,,0,0,3051
2011,97,Melbourne (CBD),,,0,,27,,,0,,42,,492,0,26,0,0,,,0,0,752
2011,98,Melbourne (CBD),0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2011,101,West Melbourne (Residential),0,0,0,0,56,0,,,,21,,0,95,,0,0,0,0,0,,2026
2011,103,Melbourne (CBD),101,0,0,0,19,,,,,,0,0,0,97,0,0,0,0,0,0,374
2011,104,Melbourne (CBD),39,,0,0,,0,47,,,76,,,,24,0,,,28,0,0,305
2011,105,Melbourne (CBD),,,0,0,,0,422,0,0,58,,21,0,0,,0,,9,,,804
2011,107,Melbourne (CBD),,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,38
2011,111,West Melbourne (Residential),,,0,,,0,0,0,,0,,0,0,7,,0,0,,0,,176
2011,113,Melbourne (CBD),0,54,0,,0,,0,,0,124,,0,18,7,0,0,0,860,0,,1107
2011,114,Melbourne (CBD),,0,0,,42,0,60,0,0,156,,,0,,0,,0,104,,0,457
2011,115,Melbourne (CBD),119,,0,,322,,238,0,0,44,,,0,,0,,34,83,0,0,2609
2011,116,Melbourne (CBD),0,0,0,,0,0,0,0,0,0,,0,0,,0,0,0,,0,0,54
2011,125,Melbourne (CBD),0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,27
2011,131,Docklands,,,0,0,136,,0,0,,48,,,0,7,3436,,0,,218,0,4175
2011,201,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,202,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,203,Carlton,0,0,0,,0,0,0,0,0,,,0,0,0,0,0,0,,0,0,34
2011,204,Carlton,,0,0,0,0,0,,0,0,27,10,0,0,,0,0,0,0,0,0,152
2011,205,Carlton,9,,0,0,0,0,,0,,25,666,0,0,0,0,0,0,,0,0,832
2011,206,Carlton,1,,0,,21,,0,0,,139,,,0,16,0,,0,89,0,0,328
2011,207,Carlton,0,0,0,0,0,0,0,,0,89,,0,0,,0,0,0,115,0,45,261
2011,208,Carlton,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,
2011,209,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,
2011,210,Carlton,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,211,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2011,212,Carlton,0,0,0,0,0,0,0,,0,,,0,0,0,,0,0,,0,0,47
2011,213,Carlton,0,0,0,,0,0,,,,0,,0,0,,,0,0,0,0,0,103
2011,214,Carlton,,0,0,0,24,0,0,0,0,,,0,,15,0,0,0,16,0,,87
2011,215,Carlton,,0,0,,0,0,0,0,0,25,,0,0,0,,,0,17,,0,68
2011,216,Carlton,0,0,0,0,,0,0,0,,36,0,,,37,,0,0,19,0,,156
2011,217,Carlton,0,,0,,29,,0,0,0,281,27,,0,32,0,0,,290,0,0,764
2011,218,Carlton,,14,0,,107,11,7,0,27,185,16,,12,298,0,0,0,66,0,,828
2011,219,Carlton,,0,0,0,,0,,0,0,,,0,,0,0,0,0,0,0,0,56
2011,220,Carlton,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,0,0,,28
2011,221,Carlton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2011,222,Carlton,0,0,0,,0,0,0,0,0,0,,0,0,0,,0,0,,0,0,24
2011,223,Carlton,0,0,0,0,13,0,0,0,0,,,0,0,6,0,,0,,0,0,54
2011,224,Carlton,1,0,0,0,,0,,0,,,20,0,20,,0,,,11,0,0,103
2011,225,Carlton,0,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,31
2011,226,Carlton,0,0,0,0,0,0,0,0,0,40,0,0,0,,,0,0,0,0,0,43
2011,227,Carlton,0,0,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,8
2011,228,Carlton,0,0,0,,,0,0,0,0,,,0,0,,,0,0,0,0,0,135
2011,229,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2011,230,Carlton,0,,0,,0,0,0,0,0,,,0,,,0,0,0,,0,0,22
2011,231,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
2011,232,Carlton,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,,0,0,39
2011,233,Carlton,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2011,234,Carlton,0,0,0,,0,0,0,0,0,0,,0,,0,0,0,0,,0,,15
2011,235,Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,
2011,236,Carlton,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,
2011,237,Carlton,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,
2011,238,Carlton,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,
